,country,year,donate,receive,
,Germany,1976,639963734,0,
,Germany,1977,617148856,0,
,Germany,1978,410412482,0,
,Germany,1979,787807347,0,
,Germany,1980,654031054,0,
,Germany,1981,751727169,0,
,Germany,1982,853843929,0,
,Germany,1983,494657126,0,
,Germany,1984,950183614,0,
,Germany,1985,1590619838,0,
,Germany,1986,539033266,0,
,Germany,1987,788040730,0,
,Germany,1988,757183394,0,
,Germany,1989,3020847013,0,
,Germany,1990,3382157543,0,
,Germany,1991,323668836,0,
,Germany,1992,8552232648,0,
,Germany,1993,450749201,0,
,Germany,1994,380199578,0,
,Germany,1995,3308855279,0,
,Germany,1996,474378180,0,
,Germany,1997,782428714,0,
,Germany,1998,323280491,0,
,Germany,1999,530422355,0,
,Germany,2000,350983095,0,
,Germany,2001,891724108,0,
,Germany,2002,744664103,0,
,Germany,2003,717917759,0,
,Germany,2004,757859065,31462,
,Germany,2005,846945037,0,
,Germany,2006,664320505,0,
,Germany,2007,977570017,28702,
,Germany,2008,1168597647,0,
,Germany,2009,1270803240,0,
,Germany,2010,866568253,0,
,Germany,2011,1400378605,0,
,Germany,2012,1519377935,0,
,Germany,2013,1582596672,0,
,United Kingdom,1973,442579189,0,
,United Kingdom,1974,1405378815,0,
,United Kingdom,1975,222187891,0,
,United Kingdom,1976,51613566,0,
,United Kingdom,1977,860011341,0,
,United Kingdom,1978,971709388,0,
,United Kingdom,1979,5012313,0,
,United Kingdom,1980,567311470,399202551,
,United Kingdom,1981,7198102,558141413,
,United Kingdom,1982,775334730,0,
,United Kingdom,1983,571679920,0,
,United Kingdom,1984,753538727,0,
,United Kingdom,1985,1255318,0,
,United Kingdom,1986,227395004,0,
,United Kingdom,1987,829894066,0,
,United Kingdom,1988,80251575,0,
,United Kingdom,1989,269229353,0,
,United Kingdom,1990,270402953,0,
,United Kingdom,1991,270595943,0,
,United Kingdom,1992,1055458482,0,
,United Kingdom,1993,407941751,0,
,United Kingdom,1994,297003626,0,
,United Kingdom,1995,385163028,0,
,United Kingdom,1996,934520515,0,
,United Kingdom,1997,734365792,0,
,United Kingdom,1998,703712023,0,
,United Kingdom,1999,847273116,0,
,United Kingdom,2000,725259608,0,
,United Kingdom,2001,687651442,0,
,United Kingdom,2002,650113998,0,
,United Kingdom,2003,838243526,0,
,United Kingdom,2004,879595860,0,
,United Kingdom,2005,822343669,0,
,United Kingdom,2006,800914880,0,
,United Kingdom,2007,1019400656,0,
,United Kingdom,2008,788164298,0,
,United Kingdom,2009,979674038,0,
,United Kingdom,2010,435982774,0,
,United Kingdom,2011,238230871,0,
,United Kingdom,2012,386497679,0,
,United Kingdom,2013,490448080,0,
,France,1973,247189555,0,
,France,1974,367384662,0,
,France,1975,192416969,0,
,France,1976,183658423,0,
,France,1977,168900067,0,
,France,1978,97437457,0,
,France,1979,25058027,0,
,France,1980,360323267,116609845,
,France,1981,277458713,120922782,
,France,1982,446543740,0,
,France,1983,164059809,0,
,France,1984,367362828,0,
,France,1985,212486003,0,
,France,1986,296394154,0,
,France,1987,254311333,0,
,France,1988,274040470,0,
,France,1989,469783071,0,
,France,1990,586988135,0,
,France,1991,75995551,0,
,France,1992,220827059,0,
,France,1993,246959806,0,
,France,1994,242597753,0,
,France,1995,184288339,0,
,France,1996,310518112,0,
,France,1997,181377579,0,
,France,1998,218643543,0,
,France,1999,195502185,0,
,France,2000,526519855,0,
,France,2001,621418995,0,
,France,2002,534709591,0,
,France,2003,507020648,0,
,France,2004,596317633,0,
,France,2005,275332592,0,
,France,2006,464260209,0,
,France,2007,401771684,0,
,France,2008,246968178,8227,
,France,2009,443827383,0,
,France,2010,479271279,0,
,France,2011,385580197,0,
,France,2012,1857862442,0,
,France,2013,1247092339,0,
,Netherlands,1973,162750945,0,
,Netherlands,1974,323468392,0,
,Netherlands,1975,130708382,0,
,Netherlands,1976,426349160,0,
,Netherlands,1977,352515092,0,
,Netherlands,1978,231844808,0,
,Netherlands,1979,82256186,0,
,Netherlands,1980,352628199,0,
,Netherlands,1981,270695825,0,
,Netherlands,1982,163308875,0,
,Netherlands,1983,305883422,0,
,Netherlands,1984,192857428,0,
,Netherlands,1985,75285016,0,
,Netherlands,1986,379878579,0,
,Netherlands,1987,573020364,0,
,Netherlands,1988,277081548,0,
,Netherlands,1989,472821276,0,
,Netherlands,1990,207980200,0,
,Netherlands,1991,233871628,0,
,Netherlands,1992,269752132,0,
,Netherlands,1993,213700000,0,
,Netherlands,1994,269718206,0,
,Netherlands,1995,284400704,0,
,Netherlands,1996,328972856,0,
,Netherlands,1997,166669840,0,
,Netherlands,1998,127981057,0,
,Netherlands,1999,55292716,0,
,Netherlands,2000,106331706,0,
,Netherlands,2001,416890876,0,
,Netherlands,2002,452558367,0,
,Netherlands,2003,212985661,0,
,Netherlands,2004,91745692,0,
,Netherlands,2005,233003711,0,
,Netherlands,2006,98616009,0,
,Netherlands,2007,121033675,0,
,Netherlands,2008,69615673,0,
,Netherlands,2009,107803997,0,
,Netherlands,2010,55471821,0,
,Netherlands,2011,19530662,0,
,Netherlands,2012,11311438,0,
,Netherlands,2013,11055065,0,
,Sweden,1973,168369255,0,
,Sweden,1974,30299330,0,
,Sweden,1975,201059589,0,
,Sweden,1976,151806434,0,
,Sweden,1977,143468255,0,
,Sweden,1978,472112462,0,
,Sweden,1979,253701905,0,
,Sweden,1980,10679246,35282669,
,Sweden,1981,151539023,24474486,
,Sweden,1982,147903816,0,
,Sweden,1983,136226862,0,
,Sweden,1984,133481767,0,
,Sweden,1985,123903610,0,
,Sweden,1986,198445181,0,
,Sweden,1987,72374249,0,
,Sweden,1988,185535976,0,
,Sweden,1989,946284591,0,
,Sweden,1990,400387605,0,
,Sweden,1991,173278658,0,
,Sweden,1992,272478628,0,
,Sweden,1993,117438835,0,
,Sweden,1994,171450490,0,
,Sweden,1995,233739645,0,
,Sweden,1996,142391886,0,
,Sweden,1997,126686840,0,
,Sweden,1998,117646650,0,
,Sweden,1999,121378837,0,
,Sweden,2000,68464897,0,
,Sweden,2001,95729319,0,
,Sweden,2002,48750953,0,
,Sweden,2003,109071656,0,
,Sweden,2004,58723484,0,
,Sweden,2005,89823816,0,
,Sweden,2006,48832575,0,
,Sweden,2007,45890520,0,
,Sweden,2008,40720968,0,
,Sweden,2009,76554392,0,
,Sweden,2010,94790240,0,
,Sweden,2011,57386226,0,
,Sweden,2012,42966784,0,
,Sweden,2013,82270421,0,
,Norway,1973,35874848,0,
,Norway,1974,94887523,0,
,Norway,1975,64575343,0,
,Norway,1976,10419282,0,
,Norway,1977,60133610,0,
,Norway,1978,147255461,0,
,Norway,1979,140327273,0,
,Norway,1980,41738095,43725131,
,Norway,1981,51124921,130936843,
,Norway,1982,110623404,63586018,
,Norway,1983,0,0,
,Norway,1984,101664449,0,
,Norway,1985,85932533,0,
,Norway,1986,9848663,0,
,Norway,1987,244641035,0,
,Norway,1988,20840875,0,
,Norway,1989,51903997,0,
,Norway,1990,22442656,0,
,Norway,1991,58788041,0,
,Norway,1992,40117760,62668301,
,Norway,1993,72847215,67085688,
,Norway,1994,126824955,0,
,Norway,1995,73931976,0,
,Norway,1996,66497399,0,
,Norway,1997,71998190,0,
,Norway,1998,57457846,0,
,Norway,1999,92238378,0,
,Norway,2000,127714893,0,
,Norway,2001,209376138,0,
,Norway,2002,73856084,0,
,Norway,2003,38448603,0,
,Norway,2004,41531404,0,
,Norway,2005,83655835,0,
,Norway,2006,324841794,0,
,Norway,2007,116693404,0,
,Norway,2008,58648457,0,
,Norway,2009,237828698,0,
,Norway,2010,323665853,0,
,Norway,2011,268584661,0,
,Norway,2012,262015590,0,
,Norway,2013,295017276,0,
,Canada,1973,437928427,0,
,Canada,1974,68502158,0,
,Canada,1975,93027681,0,
,Canada,1976,116287322,0,
,Canada,1977,38957778,0,
,Canada,1978,100516271,0,
,Canada,1979,80241209,0,
,Canada,1980,139264006,531674896,
,Canada,1981,546970726,2540405789,
,Canada,1982,87937147,170174807,
,Canada,1983,148016945,0,
,Canada,1984,691336664,153022875,
,Canada,1985,146523445,0,
,Canada,1986,392105553,0,
,Canada,1987,331152346,0,
,Canada,1988,149433255,0,
,Canada,1989,95861356,1961661,
,Canada,1990,146349000,0,
,Canada,1991,79132048,0,
,Canada,1992,203523019,0,
,Canada,1993,129123101,83925439,
,Canada,1994,83435990,0,
,Canada,1995,140853583,0,
,Canada,1996,240599471,0,
,Canada,1997,114731583,0,
,Canada,1998,385748294,0,
,Canada,1999,434102951,0,
,Canada,2000,356912625,0,
,Canada,2001,349119993,0,
,Canada,2002,242075816,587432031,
,Canada,2003,154336187,0,
,Canada,2004,172189837,0,
,Canada,2005,66617166,0,
,Canada,2006,60308595,0,
,Canada,2007,62686742,0,
,Canada,2008,75865089,55468,
,Canada,2009,74116591,0,
,Canada,2010,66543586,0,
,Canada,2011,49798170,0,
,Canada,2012,59322273,0,
,Canada,2013,54784201,0,
,Switzerland,1973,14060941,0,
,Switzerland,1974,64549529,0,
,Switzerland,1975,103204755,0,
,Switzerland,1976,43577287,0,
,Switzerland,1977,111194695,0,
,Switzerland,1978,35883359,0,
,Switzerland,1979,67821487,0,
,Switzerland,1980,10028652,0,
,Switzerland,1981,18045799,0,
,Switzerland,1982,63684924,0,
,Switzerland,1983,190427090,0,
,Switzerland,1984,116248354,0,
,Switzerland,1985,52165585,0,
,Switzerland,1986,35598036,0,
,Switzerland,1987,87982342,0,
,Switzerland,1988,32738889,0,
,Switzerland,1989,75386666,0,
,Switzerland,1990,123834846,0,
,Switzerland,1991,157754122,0,
,Switzerland,1992,31332667,0,
,Switzerland,1993,43709522,0,
,Switzerland,1994,40395940,0,
,Switzerland,1995,37875588,0,
,Switzerland,1996,63515858,0,
,Switzerland,1997,101719058,0,
,Switzerland,1998,70204297,0,
,Switzerland,1999,104482040,0,
,Switzerland,2000,129146680,184816,
,Switzerland,2001,93682742,0,
,Switzerland,2002,127936461,24996,
,Switzerland,2003,65840038,19468,
,Switzerland,2004,61749696,0,
,Switzerland,2005,70896849,97503,
,Switzerland,2006,43757262,0,
,Switzerland,2007,51309531,0,
,Switzerland,2008,39324550,0,
,Switzerland,2009,53471939,0,
,Switzerland,2010,53676771,0,
,Switzerland,2011,39344798,0,
,Switzerland,2012,41783411,0,
,Switzerland,2013,74744897,0,
,Denmark,1973,0,0,
,Denmark,1974,56839286,0,
,Denmark,1975,10392556,0,
,Denmark,1976,28849377,0,
,Denmark,1977,112241594,0,
,Denmark,1978,2086036,0,
,Denmark,1979,35943903,0,
,Denmark,1980,96585940,104288895,
,Denmark,1981,215721283,0,
,Denmark,1982,122090821,0,
,Denmark,1983,84368125,0,
,Denmark,1984,131061636,62021691,
,Denmark,1985,154044569,0,
,Denmark,1986,110720962,0,
,Denmark,1987,149837777,0,
,Denmark,1988,119577810,0,
,Denmark,1989,133430275,0,
,Denmark,1990,58616306,0,
,Denmark,1991,80582842,0,
,Denmark,1992,40778102,0,
,Denmark,1993,67062860,0,
,Denmark,1994,110637370,0,
,Denmark,1995,73451287,0,
,Denmark,1996,244013860,0,
,Denmark,1997,79381953,0,
,Denmark,1998,15650457,0,
,Denmark,1999,75309242,0,
,Denmark,2000,37463179,0,
,Denmark,2001,77063923,0,
,Denmark,2002,91324907,0,
,Denmark,2003,57028037,0,
,Denmark,2004,25482007,0,
,Denmark,2005,125145775,0,
,Denmark,2006,10170167,0,
,Denmark,2007,21329239,0,
,Denmark,2008,16290834,0,
,Denmark,2009,6819444,0,
,Denmark,2010,21438651,0,
,Denmark,2011,33654018,0,
,Denmark,2012,14988225,0,
,Denmark,2013,4941770,0,
,Belgium,1973,39251336,0,
,Belgium,1974,43588598,0,
,Belgium,1975,38863307,0,
,Belgium,1976,36126619,0,
,Belgium,1977,35853879,0,
,Belgium,1978,32189217,0,
,Belgium,1979,30801519,0,
,Belgium,1980,0,147868500,
,Belgium,1981,61917902,36477733,
,Belgium,1982,0,0,
,Belgium,1983,46243316,0,
,Belgium,1984,0,0,
,Belgium,1985,4191839,0,
,Belgium,1986,0,0,
,Belgium,1987,0,0,
,Belgium,1988,0,0,
,Belgium,1989,183930257,0,
,Belgium,1990,187058124,0,
,Belgium,1991,0,0,
,Belgium,1992,470688315,0,
,Belgium,1993,75567601,0,
,Belgium,1994,26867841,0,
,Belgium,1995,45999593,0,
,Belgium,1996,25987887,0,
,Belgium,1997,35402467,0,
,Belgium,1998,25116690,0,
,Belgium,1999,30505209,0,
,Belgium,2000,32342289,0,
,Belgium,2001,31859079,0,
,Belgium,2002,63495593,0,
,Belgium,2003,58875247,0,
,Belgium,2004,52561101,0,
,Belgium,2005,48285276,0,
,Belgium,2006,58458568,0,
,Belgium,2007,33187081,0,
,Belgium,2008,53059381,0,
,Belgium,2009,42809116,0,
,Belgium,2010,41446751,0,
,Belgium,2011,47828984,0,
,Belgium,2012,35767940,0,
,Belgium,2013,68317348,0,
,Spain,1973,0,0,
,Spain,1974,0,0,
,Spain,1975,0,0,
,Spain,1976,0,0,
,Spain,1977,0,0,
,Spain,1978,0,0,
,Spain,1979,0,0,
,Spain,1980,0,285026867,
,Spain,1981,0,199457361,
,Spain,1982,0,77227580,
,Spain,1983,0,0,
,Spain,1984,0,0,
,Spain,1985,0,0,
,Spain,1986,0,0,
,Spain,1987,0,0,
,Spain,1988,0,0,
,Spain,1989,100535177,0,
,Spain,1990,33912950,0,
,Spain,1991,134873730,0,
,Spain,1992,0,0,
,Spain,1993,36693281,0,
,Spain,1994,6797785,0,
,Spain,1995,24737384,0,
,Spain,1996,41887270,0,
,Spain,1997,61562728,0,
,Spain,1998,56295291,0,
,Spain,1999,79380361,0,
,Spain,2000,59684269,0,
,Spain,2001,71240556,0,
,Spain,2002,76217540,0,
,Spain,2003,134313618,0,
,Spain,2004,62843645,0,
,Spain,2005,81547019,0,
,Spain,2006,102707597,0,
,Spain,2007,118856065,0,
,Spain,2008,152422527,0,
,Spain,2009,238613474,0,
,Spain,2010,128037041,0,
,Spain,2011,100140152,0,
,Spain,2012,55560499,0,
,Spain,2013,55835945,0,
,Italy,1973,166719069,0,
,Italy,1974,0,0,
,Italy,1975,0,0,
,Italy,1976,35601469,0,
,Italy,1977,0,0,
,Italy,1978,0,0,
,Italy,1979,0,0,
,Italy,1980,0,894504816,
,Italy,1981,0,3585196,
,Italy,1982,0,663971,
,Italy,1983,33513460,147595542,
,Italy,1984,225774377,551936148,
,Italy,1985,164182162,0,
,Italy,1986,48874532,0,
,Italy,1987,282071099,0,
,Italy,1988,116403581,0,
,Italy,1989,112626078,0,
,Italy,1990,136489843,0,
,Italy,1991,138712028,0,
,Italy,1992,170049742,0,
,Italy,1993,124373956,277419753,
,Italy,1994,25806540,524992994,
,Italy,1995,1397467126,0,
,Italy,1996,26143275,0,
,Italy,1997,11342151,0,
,Italy,1998,24433295,0,
,Italy,1999,23505452,0,
,Italy,2000,34877961,92408,
,Italy,2001,61884442,0,
,Italy,2002,31576918,0,
,Italy,2003,15582599,35589,
,Italy,2004,65385193,0,
,Italy,2005,69732388,0,
,Italy,2006,28923679,0,
,Italy,2007,33580751,0,
,Italy,2008,38676392,0,
,Italy,2009,53936210,0,
,Italy,2010,40421158,0,
,Italy,2011,49349085,0,
,Italy,2012,23960216,0,
,Italy,2013,23679747,0,
,Finland,1973,0,0,
,Finland,1974,0,0,
,Finland,1975,0,0,
,Finland,1976,0,0,
,Finland,1977,0,0,
,Finland,1978,0,0,
,Finland,1979,0,0,
,Finland,1980,0,0,
,Finland,1981,0,0,
,Finland,1982,0,0,
,Finland,1983,3517060,70538468,
,Finland,1984,0,26553629,
,Finland,1985,0,0,
,Finland,1986,0,83529726,
,Finland,1987,1482877,0,
,Finland,1988,447649,0,
,Finland,1989,16608550,0,
,Finland,1990,4220992,0,
,Finland,1991,30659992,0,
,Finland,1992,69776266,0,
,Finland,1993,15643128,0,
,Finland,1994,30027227,0,
,Finland,1995,20700602,0,
,Finland,1996,20289146,0,
,Finland,1997,28181494,0,
,Finland,1998,10099793,0,
,Finland,1999,17111953,0,
,Finland,2000,23911436,0,
,Finland,2001,17586870,0,
,Finland,2002,35865984,0,
,Finland,2003,19462895,0,
,Finland,2004,23784055,0,
,Finland,2005,50908114,0,
,Finland,2006,25456746,73670,
,Finland,2007,19522990,0,
,Finland,2008,39238852,0,
,Finland,2009,64703548,0,
,Finland,2010,20238960,0,
,Finland,2011,34660814,0,
,Finland,2012,7911710,0,
,Finland,2013,13933712,0,
,Austria,1973,0,0,
,Austria,1974,24126329,0,
,Austria,1975,0,0,
,Austria,1976,12981849,0,
,Austria,1977,2608725,0,
,Austria,1978,27058314,0,
,Austria,1979,2480539,0,
,Austria,1980,2720513,157632201,
,Austria,1981,53422527,163916,
,Austria,1982,272169,58590672,
,Austria,1983,17235616,0,
,Austria,1984,0,0,
,Austria,1985,87348212,0,
,Austria,1986,15801537,0,
,Austria,1987,77374,0,
,Austria,1988,400964,0,
,Austria,1989,18299145,0,
,Austria,1990,3458667,0,
,Austria,1991,43662774,0,
,Austria,1992,7690278,0,
,Austria,1993,8599286,132570772,
,Austria,1994,496076,0,
,Austria,1995,2349112,0,
,Austria,1996,31485810,56293,
,Austria,1997,18810672,0,
,Austria,1998,17433736,0,
,Austria,1999,27735866,0,
,Austria,2000,41623882,0,
,Austria,2001,64630850,171695803,
,Austria,2002,64136019,249428720,
,Austria,2003,57940744,0,
,Austria,2004,46228250,1508,
,Austria,2005,17870615,127534,
,Austria,2006,8003253,0,
,Austria,2007,11550522,0,
,Austria,2008,6949094,0,
,Austria,2009,7871776,0,
,Austria,2010,8224524,0,
,Austria,2011,5945013,0,
,Austria,2012,9369281,0,
,Austria,2013,7169039,0,
,Monaco,1973,0,0,
,Monaco,1974,0,0,
,Monaco,1975,0,0,
,Monaco,1976,0,0,
,Monaco,1977,0,0,
,Monaco,1978,0,0,
,Monaco,1979,0,0,
,Monaco,1980,0,0,
,Monaco,1981,0,0,
,Monaco,1982,0,0,
,Monaco,1983,0,0,
,Monaco,1984,0,0,
,Monaco,1985,0,0,
,Monaco,1986,0,0,
,Monaco,1987,0,0,
,Monaco,1988,0,0,
,Monaco,1989,0,0,
,Monaco,1990,0,0,
,Monaco,1991,0,0,
,Monaco,1992,0,0,
,Monaco,1993,0,0,
,Monaco,1994,0,0,
,Monaco,1995,0,0,
,Monaco,1996,0,0,
,Monaco,1997,0,0,
,Monaco,1998,0,0,
,Monaco,1999,0,0,
,Monaco,2000,0,0,
,Monaco,2001,0,0,
,Monaco,2002,0,0,
,Monaco,2003,0,0,
,Monaco,2004,0,0,
,Monaco,2005,0,0,
,Monaco,2006,119315,0,
,Monaco,2007,264319,0,
,Monaco,2008,557753,0,
,Monaco,2009,0,0,
,Monaco,2010,0,0,
,Monaco,2011,0,0,
,Monaco,2012,0,0,
,Monaco,2013,0,0,
,Liechtenstein,1973,0,0,
,Liechtenstein,1974,0,0,
,Liechtenstein,1975,0,0,
,Liechtenstein,1976,0,0,
,Liechtenstein,1977,0,0,
,Liechtenstein,1978,0,0,
,Liechtenstein,1979,0,0,
,Liechtenstein,1980,0,0,
,Liechtenstein,1981,199326,18264370,
,Liechtenstein,1982,734297,0,
,Liechtenstein,1983,63282,0,
,Liechtenstein,1984,0,0,
,Liechtenstein,1985,0,0,
,Liechtenstein,1986,0,0,
,Liechtenstein,1987,0,0,
,Liechtenstein,1988,0,0,
,Liechtenstein,1989,11161,0,
,Liechtenstein,1990,299897,0,
,Liechtenstein,1991,0,0,
,Liechtenstein,1992,0,0,
,Liechtenstein,1993,124845,0,
,Liechtenstein,1994,86232,0,
,Liechtenstein,1995,0,0,
,Liechtenstein,1996,141858,0,
,Liechtenstein,1997,104054,0,
,Liechtenstein,1998,98845,0,
,Liechtenstein,1999,0,0,
,Liechtenstein,2000,380208,0,
,Liechtenstein,2001,264468,0,
,Liechtenstein,2002,147592,10053,
,Liechtenstein,2003,544967,0,
,Liechtenstein,2004,216815,0,
,Liechtenstein,2005,494415,51947,
,Liechtenstein,2006,121077,0,
,Liechtenstein,2007,199170,0,
,Liechtenstein,2008,138191,66713,
,Liechtenstein,2009,0,0,
,Liechtenstein,2010,0,0,
,Liechtenstein,2011,0,0,
,Liechtenstein,2012,0,0,
,Liechtenstein,2013,0,0,
,Iceland,1973,0,0,
,Iceland,1974,0,0,
,Iceland,1975,0,0,
,Iceland,1976,0,0,
,Iceland,1977,0,0,
,Iceland,1978,0,0,
,Iceland,1979,0,0,
,Iceland,1980,0,18060045,
,Iceland,1981,0,0,
,Iceland,1982,0,0,
,Iceland,1983,0,0,
,Iceland,1984,0,0,
,Iceland,1985,0,0,
,Iceland,1986,0,0,
,Iceland,1987,0,0,
,Iceland,1988,0,0,
,Iceland,1989,0,0,
,Iceland,1990,0,0,
,Iceland,1991,0,0,
,Iceland,1992,0,0,
,Iceland,1993,0,0,
,Iceland,1994,0,0,
,Iceland,1995,0,0,
,Iceland,1996,0,0,
,Iceland,1997,0,0,
,Iceland,1998,0,0,
,Iceland,1999,0,0,
,Iceland,2000,0,0,
,Iceland,2001,0,0,
,Iceland,2002,0,0,
,Iceland,2003,0,0,
,Iceland,2004,0,0,
,Iceland,2005,0,0,
,Iceland,2006,0,0,
,Iceland,2007,0,0,
,Iceland,2008,0,0,
,Iceland,2009,0,0,
,Iceland,2010,0,0,
,Iceland,2011,0,0,
,Iceland,2012,39083,0,
,Iceland,2013,133418,0,
,Portugal,1973,0,0,
,Portugal,1974,0,0,
,Portugal,1975,0,0,
,Portugal,1976,0,0,
,Portugal,1977,0,0,
,Portugal,1978,0,0,
,Portugal,1979,0,0,
,Portugal,1980,0,4136160,
,Portugal,1981,0,144765310,
,Portugal,1982,0,0,
,Portugal,1983,0,0,
,Portugal,1984,0,1826510,
,Portugal,1985,0,0,
,Portugal,1986,0,21863247,
,Portugal,1987,0,0,
,Portugal,1988,0,2538321,
,Portugal,1989,0,0,
,Portugal,1990,0,0,
,Portugal,1991,0,0,
,Portugal,1992,0,0,
,Portugal,1993,0,0,
,Portugal,1994,0,0,
,Portugal,1995,0,0,
,Portugal,1996,331133,0,
,Portugal,1997,344667,0,
,Portugal,1998,100751,0,
,Portugal,1999,2099809,0,
,Portugal,2000,2738129,0,
,Portugal,2001,4477740,0,
,Portugal,2002,7394633,0,
,Portugal,2003,1051124,0,
,Portugal,2004,2805269,0,
,Portugal,2005,2827761,0,
,Portugal,2006,2556983,0,
,Portugal,2007,4973178,0,
,Portugal,2008,2596175,113058,
,Portugal,2009,2079818,0,
,Portugal,2010,9121622,0,
,Portugal,2011,9036429,0,
,Portugal,2012,7736231,0,
,Portugal,2013,6629414,0,
,Australia,1973,46285863,0,
,Australia,1974,26950877,0,
,Australia,1975,77691781,0,
,Australia,1976,27718070,0,
,Australia,1977,72648152,0,
,Australia,1978,47483698,0,
,Australia,1979,9763598,0,
,Australia,1980,23283790,54502260,
,Australia,1981,18425831,747648005,
,Australia,1982,10458375,2599450,
,Australia,1983,7388539,0,
,Australia,1984,3698286,0,
,Australia,1985,6929573,0,
,Australia,1986,25229662,0,
,Australia,1987,18309923,0,
,Australia,1988,1758350,0,
,Australia,1989,163270223,0,
,Australia,1990,93432068,0,
,Australia,1991,518306838,0,
,Australia,1992,57379649,193553716,
,Australia,1993,37557879,79262311,
,Australia,1994,62005978,321233163,
,Australia,1995,87263724,343759453,
,Australia,1996,80468022,0,
,Australia,1997,99085271,0,
,Australia,1998,60046657,133176980,
,Australia,1999,87775767,0,
,Australia,2000,115957719,0,
,Australia,2001,99427776,0,
,Australia,2002,45235182,696882923,
,Australia,2003,94571888,0,
,Australia,2004,17256770,0,
,Australia,2005,28927690,0,
,Australia,2006,27058214,0,
,Australia,2007,13864351,0,
,Australia,2008,18754564,0,
,Australia,2009,17680084,0,
,Australia,2010,32806019,0,
,Australia,2011,41545539,0,
,Australia,2012,55649016,0,
,Australia,2013,67265056,0,
,New Zealand,1973,0,0,
,New Zealand,1974,0,0,
,New Zealand,1975,0,0,
,New Zealand,1976,0,0,
,New Zealand,1977,0,0,
,New Zealand,1978,0,0,
,New Zealand,1979,0,0,
,New Zealand,1980,0,11703716,
,New Zealand,1981,752775,0,
,New Zealand,1982,572352,213884594,
,New Zealand,1983,216892,0,
,New Zealand,1984,0,0,
,New Zealand,1985,4831732,0,
,New Zealand,1986,0,0,
,New Zealand,1987,0,0,
,New Zealand,1988,0,0,
,New Zealand,1989,0,0,
,New Zealand,1990,0,0,
,New Zealand,1991,0,0,
,New Zealand,1992,0,0,
,New Zealand,1993,0,0,
,New Zealand,1994,0,0,
,New Zealand,1995,1551034,0,
,New Zealand,1996,0,0,
,New Zealand,1997,0,0,
,New Zealand,1998,0,0,
,New Zealand,1999,0,0,
,New Zealand,2000,0,0,
,New Zealand,2001,0,0,
,New Zealand,2002,3965321,0,
,New Zealand,2003,5429394,0,
,New Zealand,2004,5342910,0,
,New Zealand,2005,5156674,0,
,New Zealand,2006,4390620,0,
